username,rating,review_text,relative_date,review_date
Lydia Citra,5.0,"Perpustakaan yang aku cari cari karna menyesuaikan dengan jam kerjaaa karna kebanyakan perpustakaan surabaya ini sore udah tutup🥺
Dan juga disini ada musholla, toilet dll jadi jangan khawatir ketinggalan sholat yaa kalo kesini. Kakak nya juga super ramahhh, dan free air minum kok gais kalau disini asalkan bawa botol sendiri yaaa. Dan koleksi bukunyaa jugaa lengkap sesuai dengan yang aku cari, semoga sukses selalu yaa C2O 🥺",sebulan lalu,2025-10-21
Eunoia Airleen,5.0,"My safe and fav place di Surabaya, tempat ini penuh kenangan banget buatku yang merantau di Surabaya. Suasananya cozy and homey, kalo kesini bisa sampe tutup saking betahnya. Pilihan bukunya cukup banyak dari tahun 2023 kesini nambahnya cukup signifikan hampir 7k buku. Tempat parkirnya standar, ngga terlalu sempit atau luas. Sebelum masuk jangan lupa donasi ya, buat keberlangsungan perpustakaan ini. Setiap hari Sabtu dan Minggu no gadget day, jadi tidak disarankan buat bawa laptop. Tapi masih bisa kok di working spacenya yg berbayar. Service buat Mba dan Masnya bintang 5, waktu kesini ada buku yang banyak kenangannya buatku. Udah nyari ke semua rak dan ga nemu, jadi sedih dan milih baca lainnya. Eh Mba pustakawannya nyariin aku sambil bilang kalau barusan banget bukunya dibalikin sama peminjam sebelumnya dan langsung dianterin ke mejaku (dari banyaknya org Mbanya nyariin, nganterin, dan make sure itu buku yang aku mau T-T). Sampe nangis beneran waktu itu karena emang bukunya punya history tersendiri. Jangan pernah tutup please, tiap setahun sekali ke SBY bakal terus nyempatin kesini. Sedihnya waktu kesini 5 Juli lalu, semua camilan udh gaada. Jadi pilihan menunya cuman cookies dan nasi aja satu macam. Plis balikin lagi cinnamon roll di menu huhu☹. Kekurangan lainnya nyamuk yang cukup banyak pas malem, jadi kurang nyaman. Sebagai anak jurusan sastra yang suka buku-buku lama, tempat ini banyak membantu buat saya belajar dari dulu. Terimakasih banyak ya buat kakak-kakak yang ada disini ❤️",2 bulan lalu,2025-10-21
Amalia Mahmudah,5.0,"Supeeer cozy and calm! cocok bgt buat nugas/baca buku🥹🫶🏻tempatnya jugaa aesthetic n vintage gituu cocok buat foto"". Di bagian belakang ada semacam cafe gitu bisa pesen cemilan/minum. Oiyaa juga disediakan rak untuk nyimpen barang & tas yaa, buat yg naik motor juga parkirannya lumayan luas, cukup mungkin sekitar ±16 motor, parkirnya 3k ajaa.

Mas & mbanya yg jaga juga ramah sekaliii. Oiyaa, kalau kesini jgn lupa donasi yaa krn perpustakaan ini bukan dikelola oleh pemerintah, jadi temen-temen bisa donasi ajaa di kotak"" yg uda disediakan/bisa qris jugaa.",5 bulan lalu,2025-10-21
Margaretha Seda,5.0,"Berkunjung untuk pertama kali ke sini kemarin. Tempatnya cozy dan cocok untuk baca buku. Buku-buku yang disediakan juga cukup banyak dan beragam jadi ada banyak pilihan. Oh iyaa, di sini setiap hari sabtu dan minggu ada program no laptop/tab day, jadi semisal dari rumah niatnya mau mengerjakan sesuatu yang membutuhkan laptop/tab tidak bisa di area bawah karena itu khusus hanya untuk membaca, jadi harus ke area atas di working spacenya dan itu harus bayar per orang 35k untuk sehari. Jadi saranku siapan dulu yaa. Tapi fasilitasnya cukup oke, dengan harga segitu kamu dapat free wifi dan disediakan kopi/teh/air mineral untuk menemani kamu bekerja.

Di sini kamu juga bisa pinjam buku, tapi ketika aku berkunjung kemarin (30 Mei 2025), kamu harus jadi member dulu selama 1 tahun dengan membayar uang senilai 150 ribu. Selama jangka waktu itu, kamu bisa pinjam sebanyak 2 buku untuk satu kali peminjaman selama maksimal 3 minggu. Aku baca di kolom review kalau bisa pinjam per buku tanpa harus menjadi member, tapi ketika di sana aku belum dapat informasi itu jadi mungkin akan aku tanyakan kembali.

Intinyaaa, kalau ditanya apakah datang lagi, jawabanku absolutely yess!! Oh iyaa, kakak yang jaga perpus di sini ramah sekali kucing-kucingnya juga sangat gemas!",4 bulan lalu,2025-10-21
Astia Nurrahmayanti,5.0,"Selalu pengen ke sini dari lama, tapi ku urungin terus karena merasa jauh dan belum punya alasan lebih.

Ehh, ternyata kemarin punya kesempatan buat ikut pelatihan jurnalistik di sini.

Tempatnya sangat nyaman, tdk terlalu berisik, meski berada di sisi jalanan beraspal tetapi bukan jalanan utama jadi masih sangat tenang.

Orang-orang yg dtg ke sana rerata org yg punya minat khusus ke suatu bidang art atau tulisan ya? Kayaknya banyak dipakai buat tempat pertemuan org-org passionating.

Bisa langganan di sini, kalau mau ke sini secara rutin ya, bayarnya 50ribu per tahun. Tapi kalau mau sewa/pinjam 10ribu per buku.

Tempatnya lumayan sempit ya, tapi ada satu ruangan komunal buat acara di bagian dalam. Kamar mandinya juga ada di dalam dan harus melewati ruang komunal itu.

Ruang komunalnya ber-AC, jadi kalo mau merokok di tempat-tempat semestinya.

Buku-buku di sini lebih didominasi bacaan progresif, jadi agak jarang yaa ada buku buat penelitian.

Jangan lupa bayar parkir motor 3ribu. Isi kotak donasi, atau beli buku murah yg ada di depan pintu.

Oh yaaa, ada musholla. Kamar mandi yg cukup luas dg shower dan WC duduknya, serta pancuran air wudhu di dalamnya. Minus gk ada gantungan buat naruh kerudung. Ada cermi  di bagian ruangnya. Plus Cafe 🤗",9 bulan lalu,2025-10-21
Alma Dhea Nanda Yuliana,5.0,"Kalo bingung mau nugas dimana? Me time dimana? Rapat dimana?  Wfc dimana? Ke sini ajaaa! Cocok banget buat kita yang pengen ngelakuin suatu hal di luar rumah tapi pengen ada di lingkungan yang vibes nya cozy and fresh. Yakin, betah kalian lama-lama di sini. Buat yang suka nyemil, aman sentosa! Soalnya di sini ada mini cafenya. Jadi, enaknya nampolll! Bisa me time sambil baca buku/nugas plus nyemil! Btw, reminder buat yang mau kesini! Jangan bawa makanan ataupun minuman kemasan plastik, yaaa. Usahain bawa Tumbler sama lunch box kalo ke sinii! Gak lunch box juga sih, yaa. Intinya tempat makan ramah lingkungan. Di sini juga banyak kucing cumilll yang kadang bakal nemenin kita beraktivitas, xixixi. 😍💗🌻🌺🦋💞✨🧚🏻‍♀️",10 bulan lalu,2025-10-21
beruang selalu,5.0,"C2O Library & Collabtive tempat nyaman banget untuk baca buku. Lahan parkirnya terbatas. Cocok untuk mengerjakan tugas dan hening. Tak ada wifi internet. Untuk makan dan minum ada dapur yang menyediakan. Koleksi bukunya banyak, dan tempatnya homy. Dekat dengan kayana restaurant surabaya.",3 bulan lalu,2025-10-21
Frenda Fawzia,5.0,"Seneng ada perpustakaan ditengah kota seperti ini.
Gak besar dan juga gak kecil, tapi nyaman buat membaca dan mengerjakan tugas
Saya kesini atas undangan sahabat untuk launching bukunya, dan senang melihat vibe nya
Layanan yang ramah pula",3 bulan lalu,2025-10-21
Alifia,5.0,"Salah satu cafe yang enak didatangi untuk mengerjakan tugas dan baca buku. Suasananya jempolan bgt 👍🏻👍🏻👍🏻 tenang, comfy. Ada perpustakaannya juga. Koleksi bukunya beragam.

Saat datang, teman teman bisa menaruh tas dulu di rak. Btw nanti akan disambut dan dijelaskan saat datang. Pelayanannya sangat baik dan full senyum, bahkan bapak yang jaga parkir juga baiiik. Oh iya disini ada tempat sholatnya.

Bisa pesan makan dan minum, cafenya ada di belakang. Walau tanpa AC, di sini nggak panas sama sekali karena desain ruangannya punya bukaan dari depan ke belakang, jadi sirkulasi udaranya baik.",Diedit setahun lalu,2025-10-21
Jesicca Yolanda,4.0,"Tempatnyaa manteeep bangettt! Suasananya nyaman, hangat, bikin betah, kayaknya mau 5 jam di situ ttp betah sihh dan bisa berjam jam menurutku sangking nyamannya. Tempatnya ga terlalu besar buat di area perpusnya, tapi waktu aku turun ke bagian tempat bacanya itu cukup luas si. Nah tapi, karna aku datengnya siang di hari Minggu dan pas kebetulan kayaknya mereka juga lagi ada bazaar gitu, jadi tempat-tempat yang mungkin untuk area baca, jadi ditempati untuk stan dan aku jadi hampir ga dapet tempat duduk, jadi mungkin ke depannya mungkin bisa dijadikan bahan evaluasi kak? 😍😍🙏 Makasi banyak. Tempatnya estetik parah si, kakak kasirnya juga ramah... Nah dari bukunya, bukunya itu dalam bahasa Indo dan Inggris. Sekilas yang aku inget, kebanyakan itu tentang politik siii... dan tentang Indonesia pokoknya! Nah ada novelnya juga kokk, ada buku psikologinya, film, Kristiani dll. Yg aku suka tuhh banyak buku lamanya dalam bahasa Inggris ataupun Indonesia (bisa kalo mau sekalian belajar Inggris ges). Nah tapi sayangnyaa wifinya ga gratis si gaiss alias memang harus berlangganan duluu. Aku gatau parkir di sana gratis apa engga tapi waktu aku dateng itu bayarr... Aku ada sedikit saran kakk, mungkin kalau bisa perpusnya bisa kah dibuat jadi area tanpa rokok/ dilarang merokok? Karna pada saat itu aku lagi sakit dan harus menghindari banget sebenernya sama asap rokok, nah karna ada yg ngerokok aku jd kurang nyaman di sana. 🙏🙏 Makasiii, overall recommended! :D",setahun lalu,2025-10-21
