username,rating,review_text,relative_date,review_date
laily meisya putri,5.0,"Salah satu perpustakaan dan ruang baca/nugas yang nyaman di Kota Surabaya. Bangunannya menggunakan rumah kolonial yang paling megah pada masanya.

Sebelum masuk simpan barang ke loker dan ganti dengan tas perpustkaan, isi form kehadiran dan dilarang membawa makanan ya. Kalau minuman boleh.

Mayoritas bukunya mengenai perbankan/ekonomi dan sebagainya. Namun, buku sejarah dan bacaan lainnya juga tersedia. Terdapat ruang baca umum dan ruang baca anak. Kalau meminjam masih belum boleh kecuali keluarga anggota Bank Indonesia.

Terdapat juga ruang komputer bagi pengunjung yang membutuhkan. Sangat nyaman dan suasananya mendukung untuk mengerjakan tugas. Komputer memang terkunci, untuk membuka harus info ke petugas didepan agar dibantu.

Fasilitas mushola, toilet juga tersedia sangat bersih dan nyaman. Area parkir luas untuk roda dua. Kalau roda empat terbilang cukup susah.

Pelayanan ramah dan sangat membantu pengunjung. Bisa juga loh berkegiatan kunjungan disini.",2 minggu lalu,2025-10-21
Astia Nurrahmayanti,5.0,"Kemarin nugas di perpus BI Surabaya, tempatnya lebih nyaman daripada Perpustakaan Balai Kota Surabaya.

Kamar mandi juga enggak terlalu jauh, bersih, dan wangi. Part ruangannya juga lebih banyak daripada Perpustakaan Umum Kota Surabaya yg di Balai Pemuda.

AC-nya dingin, karena pakai AC Central, jadi hampir semua ruangan itu ACnya terasa dingin dan enggak ada yg mati.

Di sini juga di sediain tas kecil plastik, buat temen-temen yg mau bawa barangnya ke meja. Jadi enggak kelimpungan meluk mereka di 2 tangan.

Registrasinya juga disediain PC yg udh terhubung ke internet jadi jangan takut kalau enggak ada paketan.

Wifinya lancar bgttt. Padahal kemarin dari siang sampe sore jam 5 tuh ramai bgt di sini.

Enggak berisik, ada beberapa anak kecil yg pakai PC-nya buat nge-game :(

Tempat duduknya ada yg lesehan, meja kecil kayak anak-anak gitu, ruang komputer, meja besar, kursi tinggi, dsb. Banyak banget spot buat nugasnya kalau harus dibandingkan sama perpus umum.

Parkir di sini bayar yaaa, 2ribu rupiah. Atau sebenarnya gratis yaa, kalau kalian parkir di dalam bukan yg di luar di bagian tamannya itu.

Buat loker tasnya banyak bgtt, tapi enggak tau kenapa yaa yg ini cepet bgt penuhnya :(",5 bulan lalu,2025-10-21
Yuliarta Kurnia Pramai Sella,5.0,"Tempat asri, di dalem juga adem, sofa empuk, mungkin bisa ditambahi sofa dgn jenis yg sama, buat nugas juga enak disini. Bawaannya ngantuk disini apa emang ak pas lagi ngantuk aja ya wkwk. Mungkin bisa ditambahi koleksi bukunya, kek novel2 lucu gitu, apa ada open donasi buku ya? Tp keknya ga cukupkah tempatnya? Saya terkesan juga sama bangunannya yg buat kerasa adem, ceilingnya tinggi dan banyak lubang ventilasinya. Semoga bangunannya tetep kek gini terus dan gaperlu dibongkar. Andai deket kos, tiap hari ak nugas kesini keknya hehe.",3 bulan lalu,2025-10-21
mary,4.0,"perpustakaan yg nyaman tengah kota. dari luar gedung keliatan tua namun dalamnya bersih, petugas ramah, nuansa nya tenang dan banyak dipenuhi mahasiswa yg nugas,(seperti kembali ke jaman sekolah) buku cukup lama tapi disampul dan disusun per kategori rapi. mau baca di tempat gratis. waktu masuk diharuskan daftar di komputer dulu lalu disediakan loker dan tas plastik untuk menyimpan brg pribadi supaya aman.
namun suara di luar jalanan- traffic kendaraan yang ramai masih cukup terdengar di dalam ruangan",sebulan lalu,2025-10-21
CAK WERRR NUSANTARA,5.0,"Gedung Cagar Budaya yang pernah menjadi Museum Mpu Tantular dan sekarang menjadi Perpustakaan.

Gedungnya cantik, ACnya adem, sofanya empuk, parkir gratis, ada wifi juga.",3 bulan lalu,2025-10-21
Brilly,5.0,"Arsitektur gedungnya unik bgt hampir ga dimiliki tempat lain, semua ruangannya dingin, nyaman, dan bersih, termasuk toiletnya. Seluruh staffnya ramah dan helpfull. Koleksi bukunya lumayan banyak tetapi tidak bisa dibawa pulang. Tempatnya ga berisik walaupun pengunjungnya banyak. Seneng bgt di perpus ini🤍 …",4 bulan lalu,2025-10-21
Anung Jaylani Firmansyah,5.0,damn i love surabaya. petugas ramah ramah satpam ramah semua orang ramah. pilihan yang baguss pengharum ruangan aroma kopi di setiap ruangan. kamar mandi bersih dan kering benar benar mencerminkan orang berpendidikan,4 bulan lalu,2025-10-21
Kimi Yansa,5.0,"terdapat parkir gratis yang tersedia di dalam area perpustakaan dan aman karena dijaga oleh beberapa satpam yang mengharuskan pengunjung untuk menunjukkan STNK ketika ingin keluar.

untuk masuk ke dalam perpustakaan, pengunjung diwajibkan mengisi daftar hadir berupa google form yang dapat discan di resepsionis. kemudian, pengunjung harus menyimpan tas di loker yang ada dan hanya membawa barang yang penting menggunakan tas bening yang telah disediakan. hanya boleh membawa minuman. sedikit keluhan dari saya adalah kunci loker yang cukup susah untuk dibuka sampai-sampai saya harus dibantu petugas resepsionis.

arsitektur bangunan masih otentik khas kolonial belanda yang memberikan pengalaman unik ketika masuk di dalamnya. suasana yang sunyi juga membuat betah untuk berlama-lama membaca buku atau mengerjakan tugas. pengunjung dapat duduk di kursi atau di lantai. terdapat pula area tempat duduk di luar untuk makan.

koleksi buku yang dimiliki cukup beragam. mulai dari buku referensi, non-fiksi, hingga fiksi populer seperti harry potter, keajaiban toko kelontong namiya, dan di tanah lada. saya tidak yakin apakah buku-buku yang ada boleh dipinjam atau tidak karena saya tidak menemukan kertas peminjaman di tiap buku.

terdapat fasilitas wifi yang dapat disambungkan secara gratis, namun, jangan terlalu berharap lebih pada kecepatannya, apalagi kalau sedang ramai pengunjung.

toilet bersih dan bagus, namun sayang, lokasinya agak jauh dari bangunan utama karena harus memutari bangunan dari luar melalui pintu masuk ke belakang bangunan dan tidak ada akses secara langsung dari dalam. saya tidak membayangkan apabila ingin pergi ke toilet namun keadaan di luar sedang hujan sedangkan pengunjung harus jalan melalui taman yang tidak beratap.

overall, perpustakaan BI ini sangat layak untuk dikunjungi, terutama untuk generasi muda yang ingin belajar sejarah dengan merasakan 'feel' berada di dalam bangunan belanda sekaligus meningkatkan literasi dengan membaca buku.",8 bulan lalu,2025-10-21
Hafid Asfiyanto,5.0,"TATA CARA KE PERPUS BI BAGI PEMULA:
1. Parkir gratis di dalam area perpus untuk menghindari parkir berbayar (lewat jalan darmo, masuk gerbang sebelah halte).
2. Silakan registrasi data pengunjung melalui komputer yang ada di depan meja CS.
3. Ambil tas yang disediakan oleh perpus, bawa barang-barang yang diperlukan, dan sisanya simpan di loker yang sudah disediakan.
4. Cari tempat duduk yang nyaman.
5. Buku tidak bisa dibawa pulang, hanya boleh dibaca ditempat.
6. Setelah selesai membaca, jangan kembalian buku ke rak, cukup letakkan di meja tempat duduk.
7. Pulang.

Perpus ini tempat yang paling nyaman bagi kamu yang ingin fokus belajar atau sekadar mencari ketenangan. Tidak ada biaya apapun yang harus dikeluarkan, semuanya gratis.

Yang paling saya suka dari perpus ini adalah stafnya. Mereka sangat ramah dan siap membantu dengan senang hati. Dengan pelayanan yang baik dan fasilitas yang mendukung, saya pasti akan kembali lagi. Highly recommended untuk siapa saja yang mencari tempat belajar yang nyaman!",9 bulan lalu,2025-10-21
Iga P,5.0,"Menurutku Perpustakaan BI ini tempat terbaik untuk kepala yang “berisik” sih! Bener-bener nyaman banget setiap di sini dan selalu pengen ke sini tiap ada garapan. Udah bener-bener improve juga dari terakhir kali kesini, tempat duduk lebih banyak, bahkan sekarang ada lesehannya juga. Ruang komputer juga udah diupgrade dengan komputer dan tempat yang nyaman. Dimanapun pilihan tempat pasti nyaman, cuma emang di lesehan tengah aku ngga lihat ada colokan sih, jadi mungkin agak kesusahan kalo misal mau garap-garap di tempat itu dengan kondisi battery laptop yang low.
Bener-bener tenang, pikiran bisa fokus waktu garap-garap, minim distraksi, dan yang pasti dingin! Meskipun emang sekarang mulai sering rame, tapi ac tetep dingin dan tetap ada space untuk garap-garap meskipun bagi beberapa orang mungkin kurang nyaman.
Toilet pun bikin kaget karena menurutku bersih banget, cukup modern juga untuk perpustakaan. Cuma emang tempatnya agak ke belakang sih, jadi better jangan sendirian untuk mengantisipasi hal-hal yang tidak diinginkan, karena emang toilet pris & wanita di 1 tempat yang sama.
Kalo dijelasin satu per satu kayanya sangat banyak ya>< intinya aku selalu senang kalo mau garap-garap di sini. Selain nyaman, masuknya juga GRATIS! Ada loker juga buat naruh tas atau barang lainnya karena emang ngga boleh bawa tas. Cuma ngga perlu takut ribet bawa barang terlalu banyak, karena di sana juga nyedian tas tenteng yang bisa dibawa masuk ke dalam. Love perpus BI!",9 bulan lalu,2025-10-21
