username,rating,review_text,relative_date,review_date
Hafsa Afisena,5.0,"Salah satu ruang baca dan cafe yang sangat menyenangkan di Tebet. Kalau bosan dengan cafe atau coffee shop common di Tebet boleh banget coba kesini. Tenang, cocok buat introvert dan pecinta buku 🌱✨ …",sebulan lalu,2025-10-21
Iqbal Rizaldin,5.0,Ke sini dua kali. Bayarnya 35k untuk tiket harian. Cafe sekaligus perpustakaan yang bisa diakses. Cocok juga untuk WFA atau WFC. Ada diskusi rutin juga di sini.,4 bulan lalu,2025-10-21
Elsa Melati,5.0,"Tempatnya nyaman banget, cocok banget buat yang suka keheningan, biar fokus bacanya. Terus bisa harian ataupun member bulanan",sebulan lalu,2025-10-21
Grace Ellys,5.0,"Pertama kalinya berkunjung kesini dengan tiket harian 35k :)
Pas nyampe, kita mesti taro tas di loker dan disediakan tas transparan. Lantai 1 ada cafe, lantai 2 ada ruang baca yang bisa sambil makan + minum, disebelahnya ada ruangan khusus untuk yang butuh suasana hening (kalau nggak salah disini cuma bisa baca/nugas + minum, makan nggak). Belum sempat nyobain sih makanan/minumannya. Tersedia colokan kalau mau sambil ngecas. View dari ruangan hening makin asik apalagi pas hujan turun. Cocok bgt buat yg ingin menyendiri bersama buku :)
Will come back again!!🌷",10 bulan lalu,2025-10-21
sabrina imaniar,5.0,"sangat cozyy🥹🫰 full of book, suasana tenang dan ngga berisik. Cocok banget buat nugas yang memerlukan fokus tanpa distraksi suara 🫶 Buku buku nya juga lengkap mulai dari fiksi dan non fiksi. Koleksi buku nya juga bagus bagus 😭🫶 favoritt banget ke ""Baca di Tebet"" inii. Rekomennn dehh 🫰 lokasinya jugaa deket sama Tebet Eco Park, jadi akses nya gampang.

Kebetulan pas kesana, aku naik KRL turun di St. Cawang, trus lanjut Jaklingko 43C turun sebrang Rusun, lanjut jalan kaki bentar. Udahh deh sampai ~~",8 bulan lalu,2025-10-21
Dewi Puspa,5.0,"Kesini tanggal 20 desember 2024, saat menghadiri diskusi bareng ibu² dari DPP KPPI, first impression aku soal tempat ini agak nyempil ya shay hehehe.

Untuk tempatnya lumayan sempit sih, 1 gedung ada 2 tempat, dibawah itu resto namanya makan di tebet dan atas nya ada perpus dan ruang temu. Untuk perpusnya ga terlalu besar tp koleksinya banyak bngt. Cocok buat yg cari ketenangan dan buat nugas. Ruangannya ber AC dan menurut saya ga cocok buat ramean. Tp yg aku suka vibes nya sih. Meski dipinggir jalan tapi ruangan perpusnya cukup kedap suara jadi ga ganggu gitu.

Itu aja, terima kasih",9 bulan lalu,2025-10-21
Shinta Anggraini Karsono,5.0,"Ruang baca yang menyenangkan. Ditambah kehadiran AC dan tempat yang terawat dengan baik. Super nyaman dan akan membuat kita betah berlama-lama di sini.

Lokasinya nggak jauh dari Stasiun Tebet. Dari stasiun ke sini, jaraknya hanya sekitar 1 km dengan ojek online.

Untuk hari Minggu, ruang baca ditutup jam 18.00. Kita hanya perlu membayar 35.000 untuk satu hari. Aku memesan online diwebsitenya. Kalau ingin membayar langsung juga nggak apa-apa. Tapi, nggak ada yang bisa menjamin tempatnya masih ada kuota atau nggak. Saranku, lebih baik membeli tiket online saja yaaa.

Aku suka banget membaca buku di sini! 💙",10 bulan lalu,2025-10-21
Andini Chiquita Dewi,5.0,"Tempat nya enak untuk baca buku atau ngerjain tugas!! Nyobain makanan nya juga enak, harganya juga bisa dibilang terjangkau. Best!! 🤩 …",6 bulan lalu,2025-10-21
Budiati Laksmitasari,5.0,"Kesini hari Minggu, agak ramai tp masih banyak bangku kosong. Suasana di lt 2 bagian dalam perpustakaan hening, adem, nyaman, dan klasik. Ada wifi, colokan, bisa bebas baca buku berbagai genre atau buka laptop. Biaya masuk harian 35rb atau membership bulanan 100rb. Recommended buat WFL. Saya pasti mampir lagi :)",setahun lalu,2025-10-21
Naily Farhana,5.0,"Perpustakaan berbayar di kawasan Jakarta Selatan, menyediakan koleksi buku lokal maupun mancanegara yang terdiri dari 2 lantai. Pengunjung bisa menikmati fasilitas membaca buku yang disediakan secara gratis di lantai dasar dan pengunjung bisa pergi ke lantai dua untuk koleksi buku yang lebih lengkap dengan merogoh uang saku sebesar Rp35.000.
Di lantai dua tersedia ruang khusus fokus membaca agar terhindar dari gangguan suara-suara pengunjung lain.
Selain koleksi buku, perpustakaan ini juga menyediakan beberapa jenis makanan/minuman lokal maupun luar yang enak.
Jika sudah memasuki waktu sembahyang, pengunjung tidak perlu khawatir akan sembahyang dimana karena terdapat musholla kecil di lantai dasar.
Overall, memanfaatkan waktu di perpustakaan ini seru abis deh!",Diedit setahun lalu,2025-10-21
Abimata Danaiswara,4.0,"Ide dan usaha nya wajib diapresiasi, kalau ga salah ini dikelola secara pribadi bukan institusi.

Lokasinya gampang ditemukan karena persis di pinggir jalan.
Layaknya perpustakaan, di teras wajib ganti tas dengan totebag transparan yg disediakan di loker. Ruangan terdiri dua lantai, lantai pertama untuk resto dan cafe, lantai dua untuk perpus. Biaya masuk 35K.
Perpus nya juga dibagi dua, diluar bisa makan dan minum, di dalam tidak boleh makan, hanya untuk baca dan kerja saja. Diperbolehkan bawa laptop, tapi wifi nya tidak kencang.

Ini bisa jadi salah satu referensi kalau km suka baca, menyendiri, atau metime",setahun lalu,2025-10-21
