username,rating,review_text,relative_date,review_date
Angelyn Sasa,5.0,"Jln2 ke perpus Kemendikbud sneng bgtt deh ,koleksi bku ny lengkap boleh pinjam buku juga , tp hrus bkin kartu anggota dl ya proses nya cpt gratis juga , Wifi juga tersedia tp kmren qu g bsa pke , boleh kerja pke komputer ny   pkoknya bestt dehh . Ohya kl mau ksni bsa naik TRANSJAKARTA ya trun di Bundaran senayan trus belok kiri lurus aja nnti ktemu sma gedungnya !!. 👍👍👍👍",sebulan lalu,2025-10-21
Anis Murni,4.0,"Ga serame perpus publik lain, jadi hening dan enak buat kerja / tugas
Aksesnya juga gampang depan mrt, Deket halte juga
Cuma mungkin koleksi bukunya kurang update yaa",2 bulan lalu,2025-10-21
Amirah Yasmin,5.0,"Perpustakaannya cukup luas dan nyaman untuk laptopan, colokan dan spot kerja ada cukup banyak. Wifi kencang, no problem.
Ada kantin di gedung terpisah, cuma ramai banget kalau lagi jam istirahat. Untuk shalat aman karena ada masjid.
Lokasinya strategis, sebelahnya mall fx dan juga dekat dari stasiun MRT dan halte busway.",2 bulan lalu,2025-10-21
jyanto can,5.0,"Perpustakaan yang nyaman, cukup tenang dengan lokasi yang gampang diakses lewat MRT atau Transjakarta di jalan Sudirman ( bersebelahan dg mal FX)
Koleksi buku yg cukup banyak",5 bulan lalu,2025-10-21
Ire Rosana Ullail,5.0,"Perpus Kemendikbud lokasinya sangat strategis yaitu di gedung Kemendikbud. Sangat dekat dengan stasiun Senayan.

Perpus ini gratis, buka dari senin - jumat dari  jam 8 - 4 sore. Di sini ada coworking space juga, ada ruang audio visual beserta koleksi kaset serta ada ruang anak yang dipenuhi aneka mainan edukatif.

Ruangannya nyaman dan cocok untuk bikin atau tugas atau mencari referensi sekalian membaca.",8 bulan lalu,2025-10-21
Karina N,5.0,"AC-nya gak dingin pas pagi jam setengah 9 hari Rabu. Entah memang karena baru dinyalain atau lagi efisiensi. Masih sepi banget pagi jam segitu, sinyal pun ada, cuma kalo free wifi kurang tau karena aku pake hotspot sendiri. Semoga aku betah wfa di sini deh

Update:
udah wfa lama di sini dan so far nyaman 😍 ternyata memang baru dinyalain AC-nya jadi lama-lama dingin. kamar mandinya lumayan bersih cuma tisunya habis huhu. untuk shalat dekat dengan masjid. dan jam operasional selama puasa itu tutup jam 15.00 WIB. Terima kasih admin sudah membalas review akuw 🩵",7 bulan lalu,2025-10-21
Ade Irma Rahayu,5.0,"mengingat ini adalah perpustakaan kemendikbud, ekspektasi saya adalah ruang dan perpustakaan anaknya luas. tapi ternyata lebih luas perpus jakarta atau perpus ibu dan anak di makassar (hehehe).

kelebihannya adalah stok mainannya rapih dan ga amburadul. bisa pinjam 3 buku dan 2 audiovisual. ada ruang teaternya. komputer, tv, sofa, karpet, kursi, dan meja semuanya lengkap.

terima kasiiih!",9 bulan lalu,2025-10-21
syarifah s,4.0,"Perpustakaan umum 1 lantai doang, dipake barengan sama yg seminar juga jadi berisik, toilet harus turun lantai, penjaga perpus lemes banget cenderung jutek 🙄😒 perpusnya kecil. Maaf, tapi kalau saya nggak mau balik lagi sih 🙏🏼

Cara maksuknya di lobby utama nanti langsung dikasih tas dan nomor loker, terus isi daftar pengunjung, udah deh tinggal naik 1 lantai. Transumnya juga gampang bisa naik tj/mrt.",10 bulan lalu,2025-10-21
arum septeani,5.0,"Perpus nya kecil, tapi sepi enak buat wfo
Ga terlalu lengkap buku buku nya
Oh ya parkir motor dan mobil disini bayar pake e-money atau sejenis nya lain nya, tempat nya enak si, cuma emang minus di buku kurang lengkap, karena perpus nya kecil, sisa nya oke semua👍",7 bulan lalu,2025-10-21
yunan morfosis,5.0,"Tempatnya asik banget. Ada dua lantai disini, lantai satu untuk ruang serbaguna, hari sabtu dan selasa sebelum pandemi ada komunitas bahasa inggris disini, lantai dua ruang utama perpustakaan. Lantai dua juga ada mini bioskop dan ruang audio visual. Tempatnya nyaman, hening bersih dan adem tentunya. Koleksinya cukup banyak dan bisa dipinjam tentunya. Cocok mengisi waktu luanv disini",2 tahun lalu,2025-10-21
Amalia Ananda,5.0,"Perpustakaannya nyaman dan para pustakawannya sangat ramah. Pustakawannya bener-bener berusaha bantu pemustaka buat dapat informasi yang mereka inginkan. Ada ruang teater juga, jadi bisa nonton film berasa bioskop di sini😀. Kalo bapak atau ibu mau ajak anaknya ke sini bisa banget, karena ada ruang koleksi anak dan ada kostum profesi di sana.",2 tahun lalu,2025-10-21
Dede Dwiansyah Putra,5.0,"Gedung terletak di kawasan strategis, naik mrt bisa langsung ke depan gedung, naik busway pun bisa. Ruang perpustakaan nya luas, 2 lantai. Buku lumayan lengkap tapi sepertinya mesti ditambah lagi buku buku barunya, akses wifi bagus, bikin kartu gratis sehari bisa langsung jadi. Bisa nonton film/video juga disini, dan bisa pinjam tentunya. Untuk buku yg dipinjam bisa di perpanjang via telpon apabila sudah nabis masa pinjam. Tersedia juga minum tapi hanya boleh minum di tempat dispenser di letakkan, ac nya juga dingin banget. Mantap lah pokoknya perpustakaan kemendikbud mantap",6 tahun lalu,2025-10-21
Vita Ayu Kusuma Dewi,5.0,"Nyaman..petugasnya ramah dan sering dipakai acara, jadi yang mau ke perpus ngerjain sesuatu bisa mampir ikut seminar seminar yang mungkin lagi ada di lantai 1. Ruangannya juga benar benar sangat nyaman jadi sangat enak untuk kerja. Disini disediain air minum juga kalau misal haus",7 tahun lalu,2025-10-21
June Simamora,5.0,"Salahsatu favorit dari beberapa perpustakaan di jakarta ditinjau dari suasananya yang tenang,lighting dan suhu ruangan yang pas juga penataan buku tergolong rapih,langganan majalah tabloid dan suratkabarnya juga  beragam.Tapi koleksi bukunya masih tergolong sedikit dan masih kurang update untuk level perpustakaan dibawah naungan kementerian dibidang pendidikan yang mestinya identik gudangnya ilmu.tersedia juga ruang mini theater untuk pemutaran film berdampingan dengan ruang koleksi multimedia dan ruang bermain anak.syarat untuk jadi member cukup mengisi formulir,fotokopi KTP beserta meterai 6000rupiah.Jatah pinjam maksimal 3 buku dan 2 koleksi multimedia,sedangkan masa peminjaman selama 2 minggu,jika berhalangan bisa diperpanjang melalui email ataupun WA.
Perpustakaan ini dilengkapi fasilitas free wifi ,komputer untuk browsing,ruang diskusi kelompok,air minum untuk pengunjung.
semoga kedepannya koleksi buku semakin berkualitas,variatif,dan terkini.",6 tahun lalu,2025-10-21
