username,rating,review_text,relative_date,review_date
Febri Gama,5.0,"Salah satu perpus terbaik, lokasi langganan deket kampus STESIA. Udah 2X kesini biasanya utk co-working & senyaman itu sih. Pelayanan staff ramah, tempat luas selain area baca cocok utk co-working. Yg bawa laptop aman karena banyak colokan walaupun hanya beberapa meja tapi cukup sih. Paling nyaman utk AC nya adem banget walupun keadaan rame, utk Wifi lumayan stabil jg. Amnesti seperti toilet, mushola & kantin jg tersedia semua.",2 bulan lalu,2025-10-21
tursina dewi,5.0,"Pertama kali ke Dinas Perpustakaan dan Kearsipan Surabaya, kesan pertamanya sangat positif! Proses membuat kartu anggota sangat cepat dan mudah — cukup isi data dan foto di tempat, nggak sampai 10 menit kartu sudah jadi. Setelah itu, kita akan diberi kunci loker untuk menyimpan tas, jadi membaca jadi lebih nyaman dan aman.

Tempatnya bersih, rapi, dan tenang. Koleksi bukunya cukup lengkap dan fasilitasnya mendukung untuk belajar atau sekadar membaca santai. Stafnya juga ramah dan informatif. Pengalaman pertama yang menyenangkan dan pastinya akan sering ke sini lagi!",Diedit 2 bulan lalu,2025-10-21
yusuf,1.0,"(Sabtu, 6 September 2025). Berdasarkan informasi Google Maps Perpustakaan buka Hari Senin - sabtu jam 08:30 s.d 16:00 (Sabtu = 15:30). Hari ini saya berangkat ke Perpustakaan pukul 10:30 WIB dan mendapati bahwa layanan perpustakaan tutup. Sungguh sangat mengecewakan! Melihat jam operasionalnya saja sudah mengecewakan! Hari dan Jam operasionalnya saja terbatas, dimana dijam-jam tersebut sebagian besar warga Jawa Timur sedang beraktivitas (bekerja & sekolah). Lalu kapan kami dapat menikmati layanan perpustakaan bila hari & jam operasionalnya terbatas, belum lagi bila layanan tersebut bisa tutup sewaktu-waktu seenak jidat mereka!
Saran saya Layanan perpustakaan bisa dinikmati setiap hari mulai dari pukul 08:30 s.d 22:00 WIB agar dapat diakses oleh seluruh lapisan masyarakat.",sebulan lalu,2025-10-21
faiz zulfa,5.0,"Meskipun bukan KTP Surabaya bisa jadi anggota. Koleksi bukunya banyak, pegawainya help full dan ramah, tempatnya adem, ramai tapi sepi ?! enak deh",sebulan lalu,2025-10-21
Julaikah,5.0,"Tempatnya luas, cocok untuk mengerjakan tugas karena ada layanan co-working space nya juga. Musholla ada di bagian belakang.",6 bulan lalu,2025-10-21
Dee Moji,5.0,Tempat membaca yang lengkap dan cocok buat para penikmat literasi,sebulan lalu,2025-10-21
Hesti Trisnawati,5.0,"Warga Jatim kudu menggunakan fasilitas provinsi ini. Kamu bisa masuk dan menggunakan fasilitas perpustakaan ini, baca buku, pinjam buku, pakai coworking space, free wifi. Fasilitas untuk teman2 difabel juga lengkap. Tempatnya nyaman untuk belajar dan berkegiatan literasi. Ada kids zone juga jd bisa dan boleh bawa anak kecil",10 bulan lalu,2025-10-21
Rudi G. Aswan,5.0,"Tempatnya nyaman, petugas ramah dalam melayani, ada co-working space yg cozy, toilet kamar mandi dan musholla bersih. Recommended buat cari bahan tulisan, atau sekadar kongko bareng bestie/keluarga. Kongko berfaedah di sini aja, apalagi bisa pinjam lewat drivethru, keren!",setahun lalu,2025-10-21
Joha Koi,1.0,"Perpustakaan dengan membawa nama Jawa timur saja jam buka tidak lebih lama dari perpustakaan daerah SBY, dan SDA. Kalau memang kekurangan karyawan pun bisa ambil pemagang dari kampus. Anggaran pendidikan sangat banyak, dan sangat bisa untuk ambil pemagang atau sebagainya.",sebulan lalu,2025-10-21
Fathiyah M. Qayyimah,5.0,"Tempat yang pas banget buat ngerjain tugas, skripsi, baca buku karena se-hening itu. Bukunya juga banyakk, tempat duduknya banyak, dan yang pasti wifinya lancar. Staff nya juga ramah banget. Ada mushola juga.",setahun lalu,2025-10-21
