username,rating,review_text,relative_date,review_date
Febri Gama,4.0,"Pertama kali mampir & baru tau jg ada perpus daerah Rungkut. Lokasi seberang SMA 17, tempat lumayan luas, pilihan buku lumayan walaupun ndak banyak. Aku sih mampir karena mau coba co-working 😆, menurutku sih yg bawa laptop aman karena tersedia meja2 tapi ndak banyak, colokan tersedia beberapa tempat aja, utk Wifi tanya ke pelayanan dulu. Amnesti tolilet & mushola tersedia. Emang tempat nya cocok utk cari2 buku, kalo co-working kurang rekomend sih",2 bulan lalu,2025-10-21
Rizki Rosyida Ahmad,3.0,Sebenernya tempatnya nyaman dan cocok buat nugas tapi sayangg bgtt wifinya gabisa nyambung gatau knp. Terus colokannya cuma beberapa yg bisa. Mungkin kedepannya bisa diperbaiki lagi buat wifi dan colokannya krn jujur nyaman dan enak banget kalo dibuat nugasss.,4 minggu lalu,2025-10-21
Muhammad Imam Rizqi Ramadhan,5.0,"Salah satu perpustakaan kota yang berada di Surabaya. Secara keseluruhan fasilitas yang diberikan sudah bagus.

Untuk parkirannya cukup luas, dimana sudah disediakan lahan yang luas untuk tempat parkir mobil dan motor.

Pelayannya tidak usah diragukan lagi, mulai dari satpam hingga bagian administrasi sudah memberikan pelayanan yang terbaik. Jika baru pertama kali berkunjung kesini, bisa bertanya kepada petugas yang bekerja untuk dibuatkan kartu anggota.

Buku yang disediakan sangat lengkap dan sudah dibagi berdasarkan kategori, sehingga memudahkan untuk menemukan buku yang ingin dibaca. Tempat membacanya juga sangat banyak.",setahun lalu,2025-10-21
Maria Tanjung,5.0,"Pelayanan ramah. Saya datang ingin menyumbang buku untuk perpustakaan dan disambut ramah oleh beberapa karyawan. Untuk kalian yang menyumbang buku-buku yang sudah dibaca lagi, bisa banget lho menyumbangkan buku ke Perpustakaan Kota Surabaya.",Diedit setahun lalu,2025-10-21
Nauval Rmdn,5.0,"Perpustakaan umum yang lain (Perpus Balpem,PerpusBI ,Perpusprov) sudah pada terjangkau oleh transportasi umum.
Tinggal Perpustakaan rungkut yang belum.
Entah mungkin bisa Bus Listrik K3L yang dari Purabaya dimuterin dulu ke rungkut madya.
Atau buat rute warawiri khusus wilayah rungkut - gunung anyar.
Warawiri FD3 rutenya kepanjangan.",3 minggu lalu,2025-10-21
Amin Thohari,5.0,"Tempat ini memiliki koleksi buku yang lumayan lengkap. Ada buku untuk anak-anak, buku tentang pelajaran di sekolah, kuliah dan beberapa jenis buku yang lain. Selain itu juga ada beberapa surat kabar yang juga disediakan di sini. Pelayanan petugas juga sangat ramah dan responsif. Jika kita tanya tentang letak buku dan rekomendasi buku, mereka bisa memberitahu mana letak dan buku yang cocok. Sangat mengesankan sekali. Lalu untuk kenyamanan tempat, tempat ini sangat nyaman sekali. Ada ac, meja untuk membaca dan kursinya juga cukup banyak sehingga membuat nyaman saat membaca buku di sini. Sangat direkomendasikan sekali untuk bisa kesini.",2 tahun lalu,2025-10-21
I A M,5.0,"Perpustakaan dengan tempat baca nyaman...

Ac masih bisa ditingkatkan, pelayanannya bagus.. Tempat masih bisa diperluas kembali untuk ukuran Surabaya masih terlalu kecil ini

Dikasi tempat kantin atau tempat Nyamtai berada diluar dengan Diberi genteng atau Penutup biar gak kepanasan...

Kurang tempatv santainya

Masih bisa ditingkatkan kembali yaa",Diedit 2 tahun lalu,2025-10-21
SHK Group,4.0,"Awalnya saya agak bingung waktu masuk apa langsung masuk, alhamdulillah petugasnya mengarahkan saya untuk alur biar masuknya. Ada stopkontak buat charger juga hawanya enak adem engga panas tp kurang dingin lagi menurut saya. Tp so enak banget buat ngerjain tugas/ baca-baca disini. *lnstagram : @shk.arloji",6 tahun lalu,2025-10-21
Konsultan Pajak,5.0,"Ada bbrapa mahasiswa yg bawa laptop, sepertinya nugas/garap skripsi.. Enak, butuh refrensi tinggal ambil, adem pula tempatnya, hening...",setahun lalu,2025-10-21
Mavra R,5.0,"Koleksinya cukup lengkap, dengan ruang baca yg nyaman, ada ruang baca khusus anak dengan  penataan yg rapi dan koleksi yg beragam. Terdapat kelas numerasi untuk anak-anak SD kelas 1-6 disini.",Diedit 4 tahun lalu,2025-10-21
MOHHAMAD FARID,5.0,"Perpustakaan kota surabaya jadi salah satu tempat yang wajib dikunjungi oleh pelajar/mahasiswa/masyarakat umum untuk lebih meningkatkan literasi. Perpustakaan ini memiliki parkir yang luas untuk para pengunjung. Di pintu masuk pengunjung akan disambut oleh petugas untuk ditanyai keperluannya dan mengisi buku kehadiran (biasanya secara digital). Perpustakaan memiliki ruangan ber ac yang sangat nyaman untuk digunakan membaca. Tersedia juga meja dan kursi yang siap digunakan kapanpun. Bagi pengunjung yang membawa laptop, tidak perlu khawatir, karena pengunjung juga dapat meng-cas laptopnya pada tempat-tempat tertentu. Koleksi buku di perpustakaan ini sangat beragam dan layak untuk dibaca oleh pengunjung.",2 tahun lalu,2025-10-21
Anna Meiliana,5.0,"Anak-anak senang diajak ke sini, karena banyak sekali koleksi buku bacaan untuk anak-anak yang sangat menarik.
Tersedia juga komputer untuk bermain game adukatif.
Tempatnya nyaman, tiket masuk gratis hanya perlu mengisi daftar kunjungan",2 tahun lalu,2025-10-21
Dea Kusuma Ningrum,4.0,"sering kesinii bukunya sudah cukup lengkap, fasilitasnya jg okey, banyak colokan, tapi Wifi-nya kadang ga bisa dijangkau seluruh area (kalo di improve makin mantep:D, soalnya kadang jg nugas disini), but overall good. Dan mau nanya jg, untuk pengunjung yg tidak memiliki KTP Surbaya, tapi berdomisili di SBY, apakah boleh meminjam atau ada syarat tertentu? terimakasih",8 bulan lalu,2025-10-21
Edi Nugroho,5.0,"tempat yang baik dan menarik untuk menambah literasi dan minat baca, buku yg disediakan beraneka ragam untuk anak dan dewasa",setahun lalu,2025-10-21
