Place_name,Image_filename
Baca Di Tebet Perpustakaan dan Ruang Temu,baca-di-tebet-perpustakaan-ruang-temu
Dinas Perpustakaan dan Kearsipan Provinsi Jawa Timur,dinas-perpustakaan-kearsipan-provinsi-jawa-timur
Perpustakaan Bank Indonesia,perpustakaan-bank-indonesia
Perpustakaan Jakarta dan Pusat Dokumen Sastra HB Jassin| Cikini,perpustakaan-jakarta-pusat-cikini
Perpustakaan Kementerian Pendidikan dan Kebudayaan Republik Indonesia,perpustakaan-kemendikbud
Perpustakaan Kota Surabaya,perpustakaan-kotaa-surabaya
Perpustakaan Nasional RI Salemba,perpustakaan-nasional-ri-salemba
Perpustakaan Nasional Republik Indonesia,perpusnas
Perpustakaan Umum Kota Surabaya,perpustakaan-umum-kota-surabaya
Bandung Creative Hub,bandung-creative-hub
Dinas Arsip dan Perpustakaan Kota Bandung (Disarpus),dinas-arsip-perpustakaan-kota-bandung
Dinas Perpustakaan Umum dan Arsip Daerah Kota Malang,dinas-perpustakaan-umum-arsip-kota-malang
Grhatama Pustaka,grahatama-pustaka
PITIMOSS,ptimoss
Perpustakaan Gasibu Jawa Barat,perpustakaan-gasibu-jawa-barat
Perpustakaan Kota Jogja,perpustakaan-kota-jogja
The Room 19 - Independent Library,the-room-19-independent-library
C2O Library & Collabtive,c2o-library-collabtive
