review_id,Place_name,city,Username,rating,Komentar,relative_date,review_date,clean_text
1,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,RIFANDIKA ILHAM AKBAR,5,"Perpustakaan Nasional Republik Indonesia ini memiliki gedung lantai 1 sampai 24 menjadi yang paling tertinggi di dunia. Di dalam perpustakaan ini untuk menitipkan tas maupun barang bawaan wajib ke tempat penitipan barang pada lantai 1, …",Diedit 4 hari lalu,2025-10-21,pustaka nasional republik indonesia milik gedung lantai tinggi dunia pustaka titip tas barang bawa wajib titip barang lantai
2,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,ratna widya,5,"Lokasinya strategis di pusat kota sehingga transportasi umum yg tersedia cukup banyak.
Walaupun datang ketika hari Minggu, tetapi tetap banyak pengunjungnya",2 bulan lalu,2025-10-21,lokasi strategis pusat kota transportasi sedia minggu unjung
3,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Len,5,"Menutup 10bulan perjalanan di Jakarta dengan Perpustakaan Nasional RI 🙌

Ngga banyak yg mau diceritain karena tujuan utama emang pengen dateng dan …",seminggu lalu,2025-10-21,tutup jalan jakarta pustaka nasional diceritain tuju utama dateng
4,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Melanie,5,"Salah satu wishlist terbesar buat bisa berkunjung ke perpusnas dan akhirnya kesampaian. Datang saat weekdays dan cukup ramai tetapi masih bisa mengakses lift tanpa antri lama, tempatnya juga nyaman banget buat nugas ataupun baca, rasanya kalau tinggal di Jakarta bakal kesana setiap minggu😆 …",seminggu lalu,2025-10-21,salah wishlist besar kunjung perpusnas pekan ramai akses lift antri tempat nyaman nugas baca tinggal jakarta kesana minggu
5,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Yuliana Putri,5,"Hallo hai semuanya 👋 langsung saja kali ini aku berkesempatan mengunjungi Perpustakaan Nasional Republik Indonesia pada akhir tahun lalu...
Itu artinya aku baru pertama kali datang ke sini dan rasanya senang, takjub karena kemegahan bangunan dan fasilitasnya. Jadi langsung saja reviewnya...
Fasilitas: terawat dengan baik, ada penitipan tas di loker yang kuncinya di bawa oleh pengunjung sendiri. Tersedia eskalator, lift, wifi, tempat duduk yang cukup banyak, petunjuk arah atau informasi terkait letak ruangan per lantai, tempatnya bersih di setiap lantai, tersedia masjid di lantai 6, ada juga musolah di beberapa lantai, mesin pengembalian buku mandiri juga ada di lantai 1, kantin, kafe, studio musik, teater mini, dll. Soal koleksi perpustakaan juga sangat banyak mulai dari buku fiksi dan non-fiksi, terbitan berkala, koleksi audio visual, buku langka juga ada di sini, pokoknya banyak sekali deh, bahkan ada lukisan juga kalo ga salah ada di lantai paling atas 24, oiya lantai 24 menjadi spot paling menarik karena ada balkon yang langsung menghadap ke Monas.
Letak: mudah dijangkau dengan transportasi umum ataupun kendaraan pribadi. Di depan gedung perpustakaan ada halte Transjakarta.
Buat yang lagi atau mau ke Jakarta bisa nih mampir ke Perpusnas.
Mungkin itu review dari ku, mungkin cuma sedikit dokumentasi karena lebih fokos melihat"" koleksinya jadi lupa buat dokumentasi, semoga next bisa berkunjung lagii, salam literasi...
See you again",3 minggu lalu,2025-10-21,halo hai langsung kali sempat unjung pustaka nasional republik indonesia kali senang takjub megah bangun fasilitas langsung reviewnya fasilitas awat titip tas loker kunci bawa unjung sedia eskalator lift wifi duduk tunjuk arah informasi kait letak ruang lantai tempat bersih lantai sedia masjid lantai musolah lantai mesin kembali buku mandiri lantai kantin kafe studio musik teater mini dsb koleksi pustaka buku fiksi non fiksi terbit kala koleksi audio visual buku langka pokok lukis salah lantai oiya lantai titik tarik balkon langsung hadap monas letak mudah jangkau transportasi kendara pribadi gedung pustaka halte transjakarta jakarta mampir perpusnas review dokumentasi fokos koleksi lupa dokumentasi moga kunjung salam literasi lihat
6,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,THANYOUNG,5,"Gedung perpustakaan tertinggi di dunia.. Wow amazing letaknya ditengah
Kota Jakarta depan monas transportasi umum sangat gampang naik tj turun di halte balaikota kalau naik krl harus nyambung tj atau ojol lagi, koleksi buku yang sangat variatif dari non fiksi, fiksi, ilmu pengetahuan, dll. Tempat bacanya juga sangat nyaman di lt 21 & 22, selain itu ada tempat untuk mahasiswa mengerjakan tugas wifinya juga lumayan kencang. Kalau sedang bosan baca buku ada ruang nonton film di lt8 koleksi
Filmya lumayan banyak dan disediakan komputer juga untuk menonton ada juga masjid yang luas dan nyaman di lt6, jika ingin membuat member anggota bisa di lt2 lumayan cepat antrinya gak sampai 30 menit, ada juga mesin pengembalian buku otomatis di lobi jadi gak usah repot naik ke atas
Sudah itu saja dulu. Sekian dan terimakasih",sebulan lalu,2025-10-21,gedung pustaka tinggi dunia wow amazing letak tengah kota jakarta monas transportasi gampang turun halte balaikota krl nyambung ojol koleksi buku variatif non fiksi fiksi ilmu tahu dsb baca nyaman mahasiswa tugas wifinya lumayan kencang bosan baca buku ruang nonton film koleksi filmya lumayan sedia komputer tonton masjid luas nyaman member anggota lumayan cepat antri menit mesin kembali buku otomatis lobi repot sekian terimakasih
7,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Muhamad Rizky Pratama,5,"Kerennn, kalo nugas pasti kesini sih, untuk fasilitas oke, lift & eskalator berfungsi dengan baik, koleksi buku lengkap, workspacenya banyak, ada rooftop juga tapi hanya sampai jam 6 saja, dan yg terpenting ada musholla juga. Untuk kartu anggota dia harus daftar ke lantai 2 ya klo engga salah, dan dia bentuknya itu digital card, jadi nanti kayak ada link registrasinya gitu. Kalau kesini saran aku sih naik TJ ya, karena lokasinya dekat dengan Halte Balai Kota.",sebulan lalu,2025-10-21,kerennn nugas kesini fasilitas oke lift eskalator fungsi koleksi buku lengkap workspacenya rooftop jam penting musholla kartu anggota daftar lantai salah bentuk digital card link registrasi kesini saran lokasi halte balai kota
8,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Ali Hamzah,5,"Perpustakaan terbesar dan terbaik yang pernah saya kunjungi, perpustakaan milik pemerintah pusat ini tidak perlu di jelaskan lagi, selain koleksinya lengkap juga fasilitas pendukungnya cukup komplit, ada juga ruang pertunjukan yang cukup respentantif dan tidak kalah dengan yang ada di TIM ataupun gedung kesenian jakarta. Parkir juga cukup luas, akses angkutan umum juga muda, dekat dengan halte busway maupun stasiun.",3 minggu lalu,2025-10-21,pustaka besar baik kunjung pustaka milik perintah pusat koleksi lengkap fasilitas dukung komplit ruang tunjuk respentantif kalah grup gedung seni jakarta parkir luas akses angkut muda halte busway stasiun
9,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Avicena Fily A Kako,5,"weekend-an udah lama gak ke perpusnas dan ketika nyoba kesana lagi, sedang ada pameran, OMG suka banget sama perpusnas banyak banget event event pameran seni anak muda hingga dewasa seperti ini 😭🫶 mungkin yang bisa lebih di tingkatkan itu di lift atau akses menuju lantai atas yaa, karena setiap aku mau naik lift selalu penuh, and waktu naik tangga darurat kebanyakan ke lock semua (capek naek tangganya hahaha) 🤧",4 hari lalu,2025-10-21,akhir pekan perpusnas nyoba kesana pamer tuhan suka perpusnas acara acara pamer seni anak muda dewasa tingkat lift akses lantai lift penuh tangga darurat banyak lock kesal naek tangga
10,Perpustakaan Nasional Republik Indonesia,Jakarta Pusat,Herda Prabadipta,3,"The national library that is not big enough for a-national-wide-level of visitors 📚

Saya tau di dunia ini tidak ada yang sempurna, tapi salah satu hal yang tidak sempurna itu sayangnya adalah fasilitas Perpusnas Indonesia.

Entah karena lahan yang terbatas, atau pemerintah memang meremehkan minat literasi masyarakat Indonesia. Gedung yang terdiri dari 24 lantai ini ternyata hanya tinggi saja, tapi tidak cukup luas untuk menampung ribuan pengunjung yang datang, karena kenyataannya, banyak pengunjung yang sampai bergelimpangan di lantai untuk membaca buku, juga lift yang tidak pernah tidak berdesak-desakan.

Untuk pengunjung pertama kali, sudah pasti akan hah-hoh karena alur journey yang tidak jelas- apakah area lobby ini museum? Apakah tas memang harus dititipkan? Apakah saya harus mendaftar keanggotaan perpus untuk mengakses ruang baca? Resepsionis yang terhalang arus pengunjung dari lift menuju penitipan tas, sehingga sulit menanyakan saya harus menuju lantai berapa untuk menemukan apa yang saya cari? Penggunaan kata sulit seperti Monograf pada papan informasi-apakah perpus ini untuk elitis yang sudah sarjana saja atau lulusan smp yang hanya mencari ""buku"" untuk dibaca saja tidak diperbolehkan langsung mengerti?

Perpustakaan yang sangat ramai ini tidak bisa membuat saya fokus membaca materi yang saya cari, tapi malah memberi ruang muhasabah betapa bare minimumnya effort pemerintah dalam penyediaan ruang publik untuk mencerdaskan bangsa.",3 bulan lalu,2025-10-21,national library big enough national wide level visitors tau dunia sempurna salah sempurna sayang fasilitas perpusnas indonesia lahan batas perintah remeh minat literasi masyarakat indonesia gedung lantai luas tampung ribu unjung nyata unjung gelimpang lantai baca buku lift desak desa unjung kali hoh alur journey area lobby museum tas titip daftar anggota pus akses ruang baca resepsionis halang arus unjung lift titip tas sulit lantai temu cari guna sulit monograf papan informasi pus elitis sarjana lulus smp cari buku baca boleh langsung erti pustaka ramai fokus baca materi cari ruang muhasabah betapa bare minimum effort perintah sedia ruang publik cerdas bangsa
