Place_name,kategori,city,rating,jumlah_ulasan,jumlah_positif,jumlah_negative,jumlah_neutral,persen_positif,persen_negative,persen_neutral,rating_normalized,skor_kualitas,latitude,longitude,url_google_maps
Baca Di Tebet Perpustakaan dan Ruang Temu,Perpustakaan Umum,Jakarta Selatan,4.798387097,124,11,59,54,0.08870967742,0.4758064516,0.435483871,0.9495967742,0.7439516129,-6.23622729,106.8470499,"https://www.google.com/maps/place/Baca+Di+Tebet+Perpustakaan+dan+Ruang+Temu/@-6.2361953,106.8444643,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f3d2517ea14b:0xe276c06b5f3b3c3b!8m2!3d-6.2361953!4d106.8470392!16s%2Fg%2F11pkhsjwj_?entry=ttu&g_ep=EgoyMDI1MTAyMC4wIKXMDSoASAFQAw%3D%3D"
C2O Library & Collabtive,Perpustakaan Umum,Surabaya,4.698979592,196,17,88,91,0.08673469388,0.4489795918,0.4642857143,0.924744898,0.7405612245,-7.28137842,112.7388608,"https://www.google.com/maps/place/C2O+Library+%26+Collabtive/@-7.2816232,112.7362859,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fbe9e3ae1e73:0xecfdb0954bfda8cb!8m2!3d-7.2816232!4d112.7388608!16s%2Fg%2F124s_6vx3?entry=ttu&g_ep=EgoyMDI1MTAyMC4wIKXMDSoASAFQAw%3D%3D"
Dinas Perpustakaan dan Kearsipan Provinsi Jawa Timur,Perpustakaan Umum,Surabaya,4.43877551,294,25,151,118,0.08503401361,0.5136054422,0.4013605442,0.8596938776,0.6763605442,-7.287412099,", 112.76855792322077","https://www.google.com/maps/place/Dinas+Perpustakaan+dan+Kearsipan+Provinsi+Jawa+Timur/@-7.284858,112.7448687,15z/data=!4m6!3m5!1s0x2dd7fa4bdc0d5c25:0x627c4fffa8e42378!8m2!3d-7.289368!4d112.768262!16s%2Fg%2F1hc5pmm9r?entry=ttu&g_ep=EgoyMDI1MTAyMC4wIKXMDSoASAFQAw%3D%3D"
Perpustakaan Bank Indonesia,Perpustakaan Umum,Surabaya,4.503144654,159,14,69,76,0.08805031447,0.4339622642,0.4779874214,0.8757861635,0.7166666667,-7.294199283,112.738885,"https://www.google.com/maps/place/Perpustakaan+Bank+Indonesia/@-7.2942525,112.7361706,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fbbd83e7a20f:0x5de6a9c354f08d6d!8m2!3d-7.2942525!4d112.7387455!16s%2Fg%2F12lppsyjv?entry=ttu&g_ep=EgoyMDI1MTAyMC4wIKXMDSoASAFQAw%3D%3D"
Perpustakaan Jakarta dan Pusat Dokumen Sastra HB Jassin| Cikini,Perpustakaan Umum,Jakarta Pusat,4.350274725,728,33,404,291,0.04532967033,0.5549450549,0.3997252747,0.8375686813,0.6624313187,-6.189576338,106.8383594,"https://www.google.com/maps/place/Perpustakaan+Jakarta+dan+Pusat+Dokumen+Sastra+HB+Jassin%7C+Cikini/@-6.189875,106.8358381,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f438da63d5d3:0x2268be22011d4f4c!8m2!3d-6.189875!4d106.838413!16s%2Fg%2F11sdbhwtgn?entry=ttu&g_ep=EgoyMDI1MTAyMC4wIKXMDSoASAFQAw%3D%3D"
Perpustakaan Kementerian Pendidikan dan Kebudayaan Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,4.726027397,146,17,63,66,0.1164383562,0.4315068493,0.4520547945,0.9315068493,0.7397260274,-6.225401117,106.8025996,"https://www.google.com/maps/place/Perpustakaan+Kementerian+Pendidikan+dan+Kebudayaan+Republik+Indonesia/@-6.2256251,106.8000676,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f14efd9abf05:0x1659580cc6981749!8m2!3d-6.2256251!4d106.8026425!16s%2Fg%2F11bc7tkbcn?entry=ttu&g_ep=EgoyMDI1MTAyMC4wIKXMDSoASAFQAw%3D%3D"
Perpustakaan Kota Surabaya,Perpustakaan Umum,Surabaya,4.173553719,121,12,58,51,0.09917355372,0.479338843,0.4214876033,0.7933884298,0.6446280992,-7.326478184,112.7785559,"https://www.google.com/maps/place/Perpustakaan+Kota+Surabaya/@-7.3277956,112.7731888,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7fac2dac0ed1f:0x163352ef5e9c3c96!8m2!3d-7.3277956!4d112.7757637!16s%2Fg%2F1hm2h_5mv?entry=ttu&g_ep=EgoyMDI1MTAyMC4wIKXMDSoASAFQAw%3D%3D"
Perpustakaan Nasional RI Salemba,Perpustakaan Umum,Jakarta Pusat,4.520114943,348,45,152,151,0.1293103448,0.4367816092,0.433908046,0.8800287356,0.7015804598,-6.198546473,106.8516316,"https://www.google.com/maps/place/Perpustakaan+Nasional+RI+Salemba/@-6.1987918,106.8487456,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f53703c62309:0xfe47f7182100a906!8m2!3d-6.1987918!4d106.8513205!16s%2Fg%2F11gjt45wb5?entry=ttu&g_ep=EgoyMDI1MTAyMC4wIKXMDSoASAFQAw%3D%3D"
Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,4.600274725,728,18,353,357,0.02472527473,0.4848901099,0.4903846154,0.9000686813,0.7361950549,-6.180542612,106.827135,"https://www.google.com/maps/place/Perpustakaan+Nasional+Republik+Indonesia/@-6.1811826,106.807866,15z/data=!4m6!3m5!1s0x2e69f442596e0c93:0x4ba58be40979fe36!8m2!3d-6.1811826!4d106.8269204!16s%2Fm%2F0ch46lx?entry=ttu&g_ep=EgoyMDI1MTAyMC4wIKXMDSoASAFQAw%3D%3D"
Perpustakaan Umum Kota Surabaya,Perpustakaan Umum,Surabaya,4.320754717,424,46,216,162,0.108490566,0.5094339623,0.3820754717,0.8301886792,0.6509433962,-7.263251581,112.7454741,"https://www.google.com/maps/place/Perpustakaan+Umum+Kota+Surabaya/@-7.2635283,112.742749,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7f963d6b15f05:0x4aa167ad55b09e7a!8m2!3d-7.2635283!4d112.7453239!16s%2Fg%2F11cm0my0zk?entry=ttu&g_ep=EgoyMDI1MTAyMC4wIKXMDSoASAFQAw%3D%3D"
