review_id,Place_name,kategori,city,Username,rating,Komentar,relative_date,review_date,sentiment
1,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,RIFANDIKA ILHAM AKBAR,5,pustaka nasional republik indonesia milik gedung lantai tinggi dunia pustaka titip tas barang bawa wajib titip barang lantai,Diedit 4 hari lalu,2025-10-21,neutral
2,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,ratna widya,5,lokasi strategis pusat kota transportasi sedia minggu unjung,2 bulan lalu,2025-10-21,neutral
3,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Len,5,tutup jalan jakarta pustaka nasional diceritain tuju utama dateng,seminggu lalu,2025-10-21,neutral
4,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Melanie,5,salah wishlist besar kunjung perpusnas pekan ramai akses lift antri tempat nyaman nugas baca tinggal jakarta kesana minggu,seminggu lalu,2025-10-21,negative
5,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Yuliana Putri,5,halo hai langsung kali sempat unjung pustaka nasional republik indonesia kali senang takjub megah bangun fasilitas langsung reviewnya fasilitas awat titip tas loker kunci bawa unjung sedia eskalator lift wifi duduk tunjuk arah informasi kait letak ruang lantai tempat bersih lantai sedia masjid lantai musolah lantai mesin kembali buku mandiri lantai kantin kafe studio musik teater mini dsb koleksi pustaka buku fiksi non fiksi terbit kala koleksi audio visual buku langka pokok lukis salah lantai oiya lantai titik tarik balkon langsung hadap monas letak mudah jangkau transportasi kendara pribadi gedung pustaka halte transjakarta jakarta mampir perpusnas review dokumentasi fokos koleksi lupa dokumentasi moga kunjung salam literasi lihat,3 minggu lalu,2025-10-21,neutral
6,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,THANYOUNG,5,gedung pustaka tinggi dunia wow amazing letak tengah kota jakarta monas transportasi gampang turun halte balaikota krl nyambung ojol koleksi buku variatif non fiksi fiksi ilmu tahu dsb baca nyaman mahasiswa tugas wifinya lumayan kencang bosan baca buku ruang nonton film koleksi filmya lumayan sedia komputer tonton masjid luas nyaman member anggota lumayan cepat antri menit mesin kembali buku otomatis lobi repot sekian terimakasih,sebulan lalu,2025-10-21,neutral
7,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Muhamad Rizky Pratama,5,kerennn nugas kesini fasilitas oke lift eskalator fungsi koleksi buku lengkap workspacenya rooftop jam penting musholla kartu anggota daftar lantai salah bentuk digital card link registrasi kesini saran lokasi halte balai kota,sebulan lalu,2025-10-21,negative
8,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Ali Hamzah,5,pustaka besar baik kunjung pustaka milik perintah pusat koleksi lengkap fasilitas dukung komplit ruang tunjuk respentantif kalah grup gedung seni jakarta parkir luas akses angkut muda halte busway stasiun,3 minggu lalu,2025-10-21,neutral
9,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Avicena Fily A Kako,5,akhir pekan perpusnas nyoba kesana pamer tuhan suka perpusnas acara acara pamer seni anak muda dewasa tingkat lift akses lantai lift penuh tangga darurat banyak lock kesal naek tangga,4 hari lalu,2025-10-21,negative
10,Perpustakaan Nasional Republik Indonesia,Perpustakaan Umum,Jakarta Pusat,Herda Prabadipta,3,national library big enough national wide level visitors tau dunia sempurna salah sempurna sayang fasilitas perpusnas indonesia lahan batas perintah remeh minat literasi masyarakat indonesia gedung lantai luas tampung ribu unjung nyata unjung gelimpang lantai baca buku lift desak desa unjung kali hoh alur journey area lobby museum tas titip daftar anggota pus akses ruang baca resepsionis halang arus unjung lift titip tas sulit lantai temu cari guna sulit monograf papan informasi pus elitis sarjana lulus smp cari buku baca boleh langsung erti pustaka ramai fokus baca materi cari ruang muhasabah betapa bare minimum effort perintah sedia ruang publik cerdas bangsa,3 bulan lalu,2025-10-21,negative
